mariana@fedora:~$ ps -eo pid,ppid,stat,ni,pri,psr,pcpu,pmem,nlwp,comm --sort=-pcpu
    PID    PPID STAT  NI PRI PSR %CPU %MEM NLWP COMMAND
  27964    1544 Sl     0  19  10 60.1 34.3   21 llama-server
  28128   28037 R+     0  19   0 50.0  0.0    1 ps
   8951    6597 Sl     0  19   3  8.7  2.7   22 msedge
   6779    6597 Sl     0  19   4  6.6  2.5   19 msedge
   6632    6576 Sl     0  19   2  4.7  0.8   26 msedge
   6540    6539 Sl     0  19   3  4.1  2.8   49 msedge
   6790    6597 Sl     0  19   0  2.8  3.5   26 msedge
   4184    3986 Ssl    0  19   2  2.7  1.4   38 gnome-shell
  24475    3986 Ssl    0  19   3  1.1  0.8   34 ptyxis
   4545    3986 SNsl  15   4   5  0.9  1.6   14 gnome-software
   6638    6540 Sl     0  19   2  0.6  0.7   18 msedge
   8826    6597 Sl     0  19   2  0.4  1.2   19 msedge
   2162    2138 Ssl    0  19   0  0.3  0.0    6 redis-server
   8918    6597 Sl     0  19   2  0.3  1.6   19 msedge
  28037   24485 Ss     0  19   6  0.2  0.0    1 bash
   1543       1 Ssl    0  19   8  0.1  0.3   31 dockerd
  23355    6597 Sl     0  19  10  0.1  0.7   20 msedge
    118       2 S      0  19   0  0.1  0.0    1 kswapd0
  23756       2 I      0  19  10  0.1  0.0    1 kworker/u48:8-btrfs-endio-write
   3541    2256 Sl     0  19   8  0.1  0.5    5 python3.11
  20090       2 I      0  19   9  0.1  0.0    1 kworker/u48:6-btrfs-endio-meta
   4543    3986 SNsl   -   0   1  0.1  0.2    8 localsearch-3
   4327    3986 Ssl    0  19   6  0.1  0.0    4 ibus-daemon
  27953   27917 Sl+    0  19   5  0.1  0.2   13 ollama
   5531       1 Ssl    0  19   8  0.1  0.5    5 dnf5daemon-serv
   1015       1 Ssl    0  19   7  0.1  0.1   19 containerd
    517       2 S      0  19   0  0.1  0.0    1 btrfs-transaction
  23755       2 I      0  19   1  0.0  0.0    1 kworker/u48:7-btrfs-endio-write
     12       2 I      0  19   5  0.0  0.0    1 kworker/u48:0-btrfs-endio
  17999       2 I      0  19  11  0.0  0.0    1 kworker/u48:5-events_unbound
   2256    2231 Ssl    0  19   4  0.0  0.1    2 uvicorn
  27723       2 I      0  19   0  0.0  0.0    1 kworker/u48:1-btrfs-endio
    713       1 Ss     0  19   0  0.0  0.0    1 systemd-oomd
    166       2 I      0  19   7  0.0  0.0    1 kworker/u48:9-btrfs-endio
  14484       2 I      0  19   8  0.0  0.0    1 kworker/u48:4-btrfs-endio
   1551       1 Ssl    0  19   1  0.0  0.0   31 zerotier-one
  17603    6597 Sl     0  19   8  0.0  0.9   19 msedge
  13661       2 I      0  19   9  0.0  0.0    1 kworker/u48:3-btrfs-endio-write
      1       0 Ss     0  19   1  0.0  0.1    1 systemd
   4464    4327 Sl     0  19   3  0.0  0.2    6 ibus-extension-
  27917   24485 Ss     0  19   0  0.0  0.0    1 bash
  23924       2 I      0  19   3  0.0  0.0    1 kworker/u48:10-btrfs-endio
     16       2 I      0  19   6  0.0  0.0    1 rcu_preempt
   4783    4327 Sl     0  19  11  0.0  0.0    4 ibus-engine-sim
  19356    6597 Sl     0  19   7  0.0  1.0   20 msedge
   2178       1 Sl     0  19   9  0.0  0.0   11 containerd-shim
   2138       1 Sl     0  19   1  0.0  0.0   11 containerd-shim
    823       1 Ssl    0  19  11  0.0  0.0    4 polkitd
   5453       1 Ssl    0  19   9  0.0  0.2    4 fwupd
   1546       1 Ssl    0  19   7  0.0  0.3    3 rsyslogd
   5723    4327 Sl     0  19   2  0.0  0.8    5 ibus-engine-tb
  12226    6540 Sl     0  19   2  0.0  0.4    9 msedge
   6809    6532 S      0  19   2  0.0  0.1    1 p11-kit-remote
    998       1 Ss     0  19   8  0.0  0.8    1 python3
    999       1 Ssl    0  19   0  0.0  0.2    4 tuned
   4774    3986 Ssl    0  19   2  0.0  0.0    4 gvfsd-metadata
   3986       1 Ss     0  19   5  0.0  0.1    1 systemd
  24485   24475 Ssl    0  19   2  0.0  0.0    5 ptyxis-agent
   1544       1 Ssl    0  19   3  0.0  0.3   19 ollama
     97       2 S      0  19   8  0.0  0.0    1 kcompactd0
   2231       1 Sl     0  19   7  0.0  0.0   11 containerd-shim
    816       1 Ssl    0  19   0  0.0  0.2    2 firewalld
    649       1 Ss     0  19   4  0.0  0.0    1 systemd-udevd
     37       2 S      - 139   3  0.0  0.0    1 migration/3
   4122    4103 S      0  19  11  0.0  0.0    1 dbus-broker
     25       2 S      - 139   1  0.0  0.0    1 migration/1
   4546    3986 S<sl -11  30   4  0.0  0.0    3 pipewire-pulse
    646       1 Ss     0  19   0  0.0  0.0    1 systemd-resolve
    611       1 Ss     0  19   3  0.0  0.2    1 systemd-journal
     43       2 S      - 139   4  0.0  0.0    1 migration/4
   1361       1 Ssl    0  19   7  0.0  0.1    4 tuned-ppd
  26345    6597 Sl     0  19   2  0.0  0.4    9 msedge
    811     809 S      0  19   6  0.0  0.0    1 dbus-broker
    966       1 Ss     0  19   5  0.0  0.3    1 abrt-dump-journ
    968       1 Ss     0  19   9  0.0  0.2    1 abrt-dump-journ
    967       1 Ss     0  19   2  0.0  0.3    1 abrt-dump-journ
  16155       2 I      0  19   0  0.0  0.0    1 kworker/0:1-events
     49       2 S      - 139   5  0.0  0.0    1 migration/5
    165       2 I      0  19   2  0.0  0.0    1 kworker/2:3-mm_percpu_wq
   4737       1 Ss     0  19   8  0.0  0.0    1 sssd_kcm
   8405    8404 SNl   15   4  11  0.0  0.0    3 glycin-image-rs
    843       1 Ss     0  19   6  0.0  0.0    1 systemd-logind
    828       1 Ss     0  19  10  0.0  0.0    1 systemd-machine
    820       1 Ssl    0  19   0  0.0  0.0    2 irqbalance
   6683    6597 Sl     0  19   3  0.0  0.2    9 msedge
    827       1 Ss     0  19   5  0.0  0.0    1 systemd-homed
   2204    2178 Ss     0  19   1  0.0  0.1    1 postgres
   1555       1 Ssl    0  19   2  0.0  0.0    5 gdm
    244       2 I      0  19   5  0.0  0.0    1 kworker/5:1-mm_percpu_wq
   4649    3986 Ssl    0  19   3  0.0  0.2    6 xdg-desktop-por
   6851    6597 Sl     0  19   0  0.0  0.6   19 msedge
   4194    3986 S<sl -11  30   1  0.0  0.0    3 pipewire
    817       1 Ssl    0  19  11  0.0  0.1    4 NetworkManager
    148       2 I      0  19  11  0.0  0.0    1 kworker/11:1-events
   4195    3986 S<sl -11  30   0  0.0  0.1    9 wireplumber
  16341       2 I      0  19   1  0.0  0.0    1 kworker/1:1-mm_percpu_wq
   4676    3986 Ssl    0  19   4  0.0  0.0    6 goa-identity-se
   4333    3986 Ssl    0  19   7  0.0  0.0    5 gsd-housekeepin
  10374    6597 Sl     0  19   8  0.0  0.6   19 msedge
     79       2 S      - 139  10  0.0  0.0    1 migration/10
   3296       1 Ssl    0  19  11  0.0  0.2    4 geoclue
    756       2 I      0  19   4  0.0  0.0    1 kworker/4:2-events
    844       1 Ssl    0  19   2  0.0  0.1    2 waydroid
    834       1 Ssl    0  19   7  0.0  0.0    4 upowerd
     31       2 S      - 139   2  0.0  0.0    1 migration/2
   4544    3986 Ssl    0  19   9  0.0  0.4    8 evolution-alarm
    102       2 I      0  19   6  0.0  0.0    1 kworker/6:1-mm_percpu_wq
     19       2 S      - 139   0  0.0  0.0    1 migration/0
    150       2 I      0  19  10  0.0  0.0    1 kworker/10:1-mm_percpu_wq
     61       2 S      - 139   7  0.0  0.0    1 migration/7
  22250       2 I      0  19   7  0.0  0.0    1 kworker/7:1-mm_percpu_wq
     73       2 S      - 139   9  0.0  0.0    1 migration/9
     85       2 S      - 139  11  0.0  0.0    1 migration/11
   5284    3986 Ssl    0  19   7  0.0  0.1    6 xdg-desktop-por
  24942       2 I      0  19   3  0.0  0.0    1 kworker/3:2-events
   4611    3986 Ssl    0  19  10  0.0  0.1    5 xdg-desktop-por
   4319    3986 Ssl    0  19   9  0.0  0.3    5 evolution-sourc
   2486       1 Ssl    0  19   5  0.0  0.0    4 colord
  20558       2 I      0  19   9  0.0  0.0    1 kworker/9:2-events
   6597    6596 S      0  19   1  0.0  0.4    1 msedge
   5985       1 Ssl    0  19   3  0.0  0.0    4 passimd
   4314    3986 Ssl    0  19   2  0.0  0.2   12 gjs
    830       1 Ssl    0  19  10  0.0  0.0    7 udisksd
   4613    3986 Ssl    0  19   6  0.0  0.0    5 gvfs-afc-volume
    933       1 Ssl    0  19  10  0.0  0.0    4 ModemManager
    840       1 Ssl    0  19   4  0.0  0.0    4 accounts-daemon
     15       2 S      0  19   0  0.0  0.0    1 ksoftirqd/0
    821       1 Ss     0  19   3  0.0  0.0    1 chronyd
    814       1 Ss     0  19   0  0.0  0.0    1 avahi-daemon
   4163    3986 Ssl    0  19  10  0.0  0.0    5 uresourced
   3540    2256 S      0  19   2  0.0  0.0    1 python3.11
   2658       1 Ssl    0  19   9  0.0  0.0    9 pcscd
     32       2 S      0  19   2  0.0  0.0    1 ksoftirqd/2
   4713    3986 Ssl    0  19   5  0.0  0.2   10 evolution-calen
  10481       2 I      0  19   8  0.0  0.0    1 kworker/8:0-events
   4542    3986 Ssl    0  19   2  0.0  0.2   12 gjs
   4278    3986 Ssl    0  19   7  0.0  0.1    7 gnome-shell-cal
   4170    3986 Ssl    0  19   8  0.0  0.0    5 gnome-session-s
    997       1 Ssl    0  19   4  0.0  0.0    6 gssproxy
    824       1 SNsl   1  18   4  0.0  0.0    3 rtkit-daemon
    463       2 I<   -20  39   2  0.0  0.0    1 kworker/2:1H-kblockd
     56       2 S      0  19   6  0.0  0.0    1 ksoftirqd/6
     68       2 S      0  19   8  0.0  0.0    1 ksoftirqd/8
   6536    6535 Sl     0  19   5  0.0  0.0    3 xdg-dbus-proxy
   4874    3986 Ssl    0  19   4  0.0  0.2    7 evolution-addre
   4586    3986 Ssl    0  19   2  0.0  0.0    5 gvfs-udisks2-vo
   4342    3986 Ssl    0  19   5  0.0  0.0    5 gsd-media-keys
   4271    3986 Ssl    0  19   1  0.0  0.0    4 at-spi2-registr
    863       1 Ssl    0  19   8  0.0  0.0    4 abrtd
    638       1 Ss     0  19  10  0.0  0.0    1 systemd-userdbd
    545       2 I<   -20  39   0  0.0  0.0    1 kworker/0:1H-kblockd
    246       2 I      0  19   8  0.0  0.0    1 kworker/8:2-events
   6539    6517 S      0  19   8  0.0  0.0    1 bwrap
   4644    3986 Ssl    0  19   6  0.0  0.2    4 goa-daemon
   4330    3986 Ssl    0  19   6  0.0  0.0    5 gsd-color
   4346    3986 Ssl    0  19   7  0.0  0.0    5 gsd-power
   4270    4269 S      0  19  11  0.0  0.0    1 dbus-broker
   2472    2204 Ss     0  19   5  0.0  0.0    1 postgres
    809       1 Ss     0  19   3  0.0  0.0    1 dbus-broker-lau
    557       2 I<   -20  39   3  0.0  0.0    1 kworker/3:1H-kblockd
     18       2 S      0  19   6  0.0  0.0    1 rcu_exp_gp_kthread_worker
   6596    6539 S      0  19   6  0.0  0.0    1 bwrap
   6582    6549 Ss     0  19   6  0.0  0.0    1 bwrap
   6576    6540 S      0  19   5  0.0  0.3    1 msedge
   6549    3986 Ssl    0  19   1  0.0  0.1    4 flatpak-portal
   6517    4184 S      0  19   8  0.0  0.0    1 bwrap
   5489    4172 Sl     0  19   3  0.0  0.0    7 gvfsd-mtp
   4541    3986 Ssl    0  19  11  0.0  0.0    4 ibus-portal
   4375    3986 Ssl    0  19   6  0.0  0.0    6 gsd-smartcard
   4349    3986 Ssl    0  19  11  0.0  0.1    4 gsd-print-notif
   4172    3986 Ssl    0  19   6  0.0  0.0    4 gvfsd
   4103    3986 Ss     0  19  11  0.0  0.0    1 dbus-broker-lau
    826       1 Ssl    0  19   1  0.0  0.0    4 switcheroo-cont
    783       1 S<sl  -4  23   0  0.0  0.0    2 auditd
    561       2 I<   -20  39   8  0.0  0.0    1 kworker/8:1H-kblockd
    558       2 I<   -20  39   9  0.0  0.0    1 kworker/9:1H-kblockd
    546       2 I<   -20  39   1  0.0  0.0    1 kworker/1:1H-kblockd
     55       2 S      - 139   6  0.0  0.0    1 migration/6
     67       2 S      - 139   8  0.0  0.0    1 migration/8
     26       2 S      0  19   1  0.0  0.0    1 ksoftirqd/1
  15947       2 I<   -20  39   9  0.0  0.0    1 kworker/u49:5-ttm
  14879       2 I<   -20  39   5  0.0  0.0    1 kworker/u49:2-ttm
  10805       2 I<   -20  39   5  0.0  0.0    1 kworker/u49:1-ttm
   9102       2 I<   -20  39   8  0.0  0.0    1 kworker/u49:0-ttm
   5384       2 I<   -20  39   1  0.0  0.0    1 kworker/u49:14-ttm
   4703    3986 Ssl    0  19  11  0.0  0.0    4 gvfs-mtp-volume
   4683    3986 Ssl    0  19   2  0.0  0.0    4 gvfs-gphoto2-vo
   4627    3986 Ssl    0  19   6  0.0  0.0    7 xdg-document-po
   4363    3986 Ssl    0  19  11  0.0  0.0    4 gsd-screensaver
   4373    3986 Ssl    0  19   6  0.0  0.0    5 gsd-sharing
   4376    3986 Ssl    0  19  11  0.0  0.0    5 gsd-sound
   4386    3986 Ssl    0  19  11  0.0  0.0    5 gsd-usb-protect
   4389    3986 Ssl    0  19   8  0.0  0.0    5 gsd-wwan
   4332    3986 Ssl    0  19   0  0.0  0.0    5 gsd-datetime
   4337    3986 Ssl    0  19   1  0.0  0.0    5 gsd-keyboard
   4358    3986 Ssl    0  19   3  0.0  0.0    4 gsd-rfkill
   4329    3986 Ssl    0  19   0  0.0  0.0    5 gsd-a11y-settin
   4125    4091 Sl+    0  19   7  0.0  0.0    4 gnome-session-i
   4006       1 Sl     0  19   5  0.0  0.0    5 gnome-keyring-d
   3745    1555 Sl     0  19   2  0.0  0.0    4 gdm-session-wor
   3565    2204 Ss     0  19   2  0.0  0.0    1 postgres
